.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,.,.,.
.,.,c,c,. ,s,.,.,.,.,.,.,.,m,.,.,.,.,.,.,.,.,.,.,m,.,.,d
m,m,m,m,m,m,.,.,m,.,m,.,m,m,C,.,.,c,.,m,.,m,c,.,m,m,m,m
m,m,m,m,m,m,m,s,m,.,m,.,m,m,m,.,m,m,m,m,.,m,m,m,m,m,m,m
