.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,c,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,C,.,.,.,.,.,.,.,.,c,c,c,.,.,.,.,.,.,.,.,.,.,.
.,.,c,.,.,.,c,s,s,.,.,.,.,.,.,c,c,c,.,.,.,c,.,.,m,.,.,.,d
m,m,m,.,m,m,m,m,m,m,m,.,m,m,m,m,m,m,s,.,.,m,m,.,.,m,.,m,m
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,m,.,.,.,.,.,.,.,.,.,.
