.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,.,.,m,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,m,m,m,.,.,.,m,m,.,.,.,.,.,.
.,.,.,.,.,.,C,.,.,.,.,.,.,.,m,m,m,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,c,m,.,.,.,.,c,.,m,m,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,d
m,m,m,m,m,m,m,s,s,s,m,m,m,m,m,.,.,.,.,.,.,.,.,.,.,.,.,m,m,m,m,m
m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,.,.,.,.,.,.,.,.,.,.,.,.,m,m,m,m,m
